modelo,alpha,gamma,epsilon_start,oponente_entrenamiento,oponente_evaluacion,episodios_eval,ganadas,perdidas,empates,porcentaje_victorias
trained_model_vs_None_1000_0.99_1.0_0.1_0.9950.001_128_1000_100,0.001,0.99,1.0,None,random,1000,848,152,0,0.848
trained_model_vs_Random_1000_0.99_1.0_0.1_0.9950.001_128_1000_100,0.001,0.99,1.0,Random,random,1000,813,187,0,0.813
trained_model_vs_Defensor_1000_0.99_1.0_0.1_0.9950.001_128_1000_100,0.001,0.99,1.0,Defensor,random,1000,790,210,0,0.79
trained_model_vs_None_1000_0.99_0.9_0.1_0.9950.001_128_1000_100,0.001,0.99,0.9,None,random,1000,698,302,0,0.698
trained_model_vs_Random_1000_0.99_0.9_0.1_0.9950.001_128_1000_100,0.001,0.99,0.9,Random,random,1000,733,267,0,0.733
trained_model_vs_Defensor_1000_0.99_0.9_0.1_0.9950.001_128_1000_100,0.001,0.99,0.9,Defensor,random,1000,841,159,0,0.841
trained_model_vs_None_1000_0.99_0.8_0.1_0.9950.001_128_1000_100,0.001,0.99,0.8,None,random,1000,760,240,0,0.76
trained_model_vs_Random_1000_0.99_0.8_0.1_0.9950.001_128_1000_100,0.001,0.99,0.8,Random,random,1000,697,303,0,0.697
trained_model_vs_Defensor_1000_0.99_0.8_0.1_0.9950.001_128_1000_100,0.001,0.99,0.8,Defensor,random,1000,731,269,0,0.731
trained_model_vs_None_1000_0.99_0.7_0.1_0.9950.001_128_1000_100,0.001,0.99,0.7,None,random,1000,782,218,0,0.782
trained_model_vs_Random_1000_0.99_0.7_0.1_0.9950.001_128_1000_100,0.001,0.99,0.7,Random,random,1000,832,168,0,0.832
trained_model_vs_Defensor_1000_0.99_0.7_0.1_0.9950.001_128_1000_100,0.001,0.99,0.7,Defensor,random,1000,778,222,0,0.778
trained_model_vs_None_1000_0.9_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.9,1.0,None,random,1000,814,186,0,0.814
trained_model_vs_Random_1000_0.9_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.9,1.0,Random,random,1000,782,218,0,0.782
trained_model_vs_Defensor_1000_0.9_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.9,1.0,Defensor,random,1000,719,281,0,0.719
trained_model_vs_None_1000_0.9_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.9,None,random,1000,750,250,0,0.75
trained_model_vs_Random_1000_0.9_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.9,Random,random,1000,794,206,0,0.794
trained_model_vs_Defensor_1000_0.9_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.9,Defensor,random,1000,682,318,0,0.682
trained_model_vs_None_1000_0.9_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.8,None,random,1000,783,217,0,0.783
trained_model_vs_Random_1000_0.9_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.8,Random,random,1000,788,212,0,0.788
trained_model_vs_Defensor_1000_0.9_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.8,Defensor,random,1000,736,264,0,0.736
trained_model_vs_None_1000_0.9_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.7,None,random,1000,780,220,0,0.78
trained_model_vs_Random_1000_0.9_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.7,Random,random,1000,838,162,0,0.838
trained_model_vs_Defensor_1000_0.9_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.9,0.7,Defensor,random,1000,730,270,0,0.73
trained_model_vs_None_1000_0.95_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.95,1.0,None,random,1000,727,273,0,0.727
trained_model_vs_Random_1000_0.95_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.95,1.0,Random,random,1000,780,220,0,0.78
trained_model_vs_Defensor_1000_0.95_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.95,1.0,Defensor,random,1000,657,343,0,0.657
trained_model_vs_None_1000_0.95_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.9,None,random,1000,701,299,0,0.701
trained_model_vs_Random_1000_0.95_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.9,Random,random,1000,842,158,0,0.842
trained_model_vs_Defensor_1000_0.95_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.9,Defensor,random,1000,753,247,0,0.753
trained_model_vs_None_1000_0.95_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.8,None,random,1000,844,156,0,0.844
trained_model_vs_Random_1000_0.95_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.8,Random,random,1000,860,140,0,0.86
trained_model_vs_Defensor_1000_0.95_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.8,Defensor,random,1000,739,261,0,0.739
trained_model_vs_None_1000_0.95_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.7,None,random,1000,754,246,0,0.754
trained_model_vs_Random_1000_0.95_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.7,Random,random,1000,825,175,0,0.825
trained_model_vs_Defensor_1000_0.95_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.95,0.7,Defensor,random,1000,691,309,0,0.691
trained_model_vs_None_1000_0.98_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.98,1.0,None,random,1000,753,247,0,0.753
trained_model_vs_Random_1000_0.98_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.98,1.0,Random,random,1000,878,122,0,0.878
trained_model_vs_Defensor_1000_0.98_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.98,1.0,Defensor,random,1000,690,310,0,0.69
trained_model_vs_None_1000_0.98_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.9,None,random,1000,831,169,0,0.831
trained_model_vs_Random_1000_0.98_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.9,Random,random,1000,647,353,0,0.647
trained_model_vs_Defensor_1000_0.98_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.9,Defensor,random,1000,748,252,0,0.748
trained_model_vs_None_1000_0.98_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.8,None,random,1000,735,265,0,0.735
trained_model_vs_Random_1000_0.98_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.8,Random,random,1000,782,218,0,0.782
trained_model_vs_Defensor_1000_0.98_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.8,Defensor,random,1000,838,162,0,0.838
trained_model_vs_None_1000_0.98_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.7,None,random,1000,709,291,0,0.709
trained_model_vs_Random_1000_0.98_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.7,Random,random,1000,679,321,0,0.679
trained_model_vs_Defensor_1000_0.98_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.98,0.7,Defensor,random,1000,712,288,0,0.712
trained_model_vs_None_1000_0.99_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.99,1.0,None,random,1000,737,263,0,0.737
trained_model_vs_Random_1000_0.99_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.99,1.0,Random,random,1000,641,359,0,0.641
trained_model_vs_Defensor_1000_0.99_1.0_0.1_0.9950.0005_128_1000_100,0.0005,0.99,1.0,Defensor,random,1000,630,370,0,0.63
trained_model_vs_None_1000_0.99_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.9,None,random,1000,803,197,0,0.803
trained_model_vs_Random_1000_0.99_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.9,Random,random,1000,724,276,0,0.724
trained_model_vs_Defensor_1000_0.99_0.9_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.9,Defensor,random,1000,727,273,0,0.727
trained_model_vs_None_1000_0.99_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.8,None,random,1000,812,188,0,0.812
trained_model_vs_Random_1000_0.99_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.8,Random,random,1000,704,296,0,0.704
trained_model_vs_Defensor_1000_0.99_0.8_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.8,Defensor,random,1000,699,301,0,0.699
trained_model_vs_None_1000_0.99_0.7_0.1_0.9950.0005_128_1000_100,0.0005,0.99,0.7,None,random,1000,726,274,0,0.726
